org,date,position_summary,quote,doc_url,source_page
BlueRibbon Coalition,,"Urges the Bureau to consider recreation interests, change Lake Powell target elevation (prefer 3588 ft) to protect recreation and hydropower, and adopt the Path to 3588 plan as a preferred alternative to draining Powell.",I support the Path to 3588 plan developed by BlueRibbon Coalition,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Form_Letters_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
BlueRibbon Coalition,,"Requests to be considered an interested public participant and to ensure recreation impacts are accounted for in Post-2026 planning, noting the 2007 Interim Guidelines failed to adequately account for recreation impacts.",BRC would like to be considered an interested public for this project.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
BlueRibbon Coalition,2023-08-15,"Requests recreation-focused operational alternatives including adaptive recreation management, a Lake Powell operational tier to protect recreation infrastructure (target ~3588 ft, supportive of 3575 as improvement), and opposition to experimental releases during drought.",We recommend developing a recreation alternative that builds a Lake Powell operational tier that will adjust the Mid-Elevation release tier and Lower-Elevation balancing tier to be triggered when lake elevation drops below 3588.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
BlueRibbon Coalition,2023-12-11,"Supports Alternative 2 (Lower Division Proposal) and urges the Bureau of Reclamation to adopt it; requests that recreation and economic impacts be fully considered, opposes experimental releases during drought, and seeks preservation of recreational access and related local economies.","BRC supports Alternative 2, the Lower Division Proposal.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/138_BlueRibbon Coalition_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
"Board of Water Works of Pueblo, CO",,No policy position visible in this excerpt; only signature/affiliation is shown.,"Executive Director President Board of Water Works of Pueblo, CO",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Business for Water Stewardship (BWS) and the Bonneville Environmental Foundation (BEF),2023-08-15,"Urges Post-2026 Guidelines to plan for current (drier, hotter) hydrology, prioritize long-term stability and predictability, incorporate environmental and Tribal considerations, coordinate with parallel basin efforts, and provide durable incentives for resilience investments.",The Post-2026 Guidelines should plan for the River we have and not expect the River we want:,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
CA Department of Water Resources,,"Requests addressing infrastructure issues (including Glen Canyon Dam low-level outlet works), promoting Colorado River water-use efficiency, expanding interagency partnerships (e.g., USDA salinity control), and exploring use of Yuma Desalting Plant; commits to collaborate with Reclamation.","promoting water use efficiency of Colorado River supplies. There are opportunities to expand partnerships with other federal agencies and programs, such as the U.S. Department of Agriculture’s salinity control program activities, to drive increased conservation.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Camp Verde,,"Requests increase of allocation from 1,200 to 1,800 acre-feet per year and that allocation be based on permanent tribal homeland concept.","The tribe has requested that their allocation be increased from 1,200 to 1,800 acre-feet per year.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
CAWCD,,"Requests Post-2026 EIS implement improved, uniform accounting (including Upper Basin), assess evaporative/system losses, base operations on system-wide reservoir contents, adopt basin-wide efficiency standards, restructure ICS, expand and fund conservation programs, and ensure mandatory reductions are equitably shared.","CAWCD requests that the United States consult with the Basin States, CAWCD and other Colorado River Contractors on the development of a No Action Alternative.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
CAWCD,,Supports comments by the Governor's Representatives of the Colorado River Basin States and the Governor's Representatives of the Colorado River Lower Division States; requests ESA consultation be coordinated with Post-2026 EIS.,CAWCD thanks you for the opportunity to provide these comments on the scope of the Post-2026 EIS.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
CCSD Landscaping & Grounds Dept.,2022-06-28,"Recommends multiple conservation measures: end 'use it or lose it' water rights retention, require municipalities to use underground reserves proportionally, shut down pools/fountains, limit landscape irrigation to four days/week, and order Lake Powell to release 30–40% of its usual water.",I would also suggest that Lake Powell be ordered to release 30-40% of the normal amount of water that it usually would.,https://www.usbr.gov/ColoradoRiverBasin/documents/Citizen Comments letters 508 compressed_updated_1.30.2023_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/pre-scope/summary-input.html
"Cecil D. Andrus, Secretary of the Interior.",1980-12-05,"Issues final decisions revising Central Arizona Project tribal allocations: removes temporary Indian-first priority, establishes a shared priority with M&I users, finds no significant environmental impact, and rescinds inconsistent prior Secretarial decisions.","However, the temporary priority for Indian water use under the 1976 allocation is unreasonable and justifies a revision from a first, but temporary, priority in CAP water, to a shared priority with M&I users over the life of the project.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Center for Biological Diversity, Colorado Riverkeeper, Glen Canyon Institute, Great Basin Water Network, Great Basin Waterkeeper, Las Vegas Water Defender, Living Rivers, River Runners for Wilderness, Save The Colorado, and Utah Rivers Council",2023-12-11,"Joint comment opposes Reclamation’s revised draft SEIS business-as-usual approach; urges using aridification as the baseline, stronger basin-wide water reductions (20–25%), improved, transparent modeling, and prioritizing public interest over state accounting and one-time funding fixes.",The revised draft SEIS is best described as a document that adheres to the practice of business-as-usual; the approach was minimalistic for a situation that was previously described in 2022 as catastrophic.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/302_Living Rivers_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
"Center for Colorado River Studies, Eric Kuhn, Utton Center, University of New Mexico School of Law",2024-03-29,"Request that Reclamation consider their proposal to decouple annual Lake Powell release decisions from Law of the River annual accounting by creating a debits/credits reservoir accounting system, allowing flexible releases to meet environmental, cultural, and recreational objectives.",We propose creating an accounting system for Upper Basin and Lower Basin debits and credits in the two reservoirs.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024-03-29_Schmidt_Kuhn_Fleck_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/alternatives/index.html
Central Arizona Irrigation and Drainage District (CAIDD); Maricopa-Stanfield Irrigation & Drainage District (MSIDD); New Magma Irrigation and Drainage District (NMIDD); Queen Creek Irrigation District (QCID); San Carlos Irrigation and Drainage District (SCIDD),2023-08-15,Representing CAP agricultural districts that rely on the CAP Ag Settlement Pool; raising concerns about impacts of Post-2026 Guidelines on irrigation water delivered via CAP and seeking protections for agricultural water supplies.,"The Districts are the primary users of the CAP Agricultural Settlement Pool (""Ag Pool"") dedicated to agricultural users who relinquished long-term subcontracts and allocations of CAP Non-Indian Agricultural (""NIA"") Priority water.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
CENTRAL ARIZONA PROJECT,2023-08-15,"As CAWCD, urges Post-2026 Operations to ensure highest reliability and water-supply certainty, use flexible mechanisms, respect Law of the River, equitably share burdens (protecting CAP and tribes), analyze socioeconomic and infrastructure impacts, include Mexico considerations, and address conserved-water forbearance.",The Post-2026 Operations must achieve the highest level of reliability and water supply certainty to Colorado River water users.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Central Arizona Project (CAP) 4th priority municipal and industrial (M&I) subcontract entitlement holders,2023-08-15,"Submitting comments on the Post-2026 NOI on behalf of CAP 4th priority M&I subcontract entitlement holders and potentially impacted municipalities, representing municipal and industrial water interests.",Following are comments from the Central Arizona Project (CAP) 4th priority municipal and industrial (M&I) subcontract entitlement holders1 and potentially impacted municipalities that are also member,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Central Arizona Water Conservation District,2020-11-13,"Requests Reclamation revise the Draft 7.D Review Report: remove Section 6, clarify Sections 4 and 7 (recognize Upper Basin impacts, acknowledge voluntary Lower Basin conservation, articulate ICS principles and intra-state agreements), and affirm the effectiveness of the 2007 Guidelines.",We recommend that Reclamation remove Section 6 from the body of the report and consider documenting Reclamation’s general response to pertinent comments in an appendix.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CAWCD.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
"Central Arizona Water Conservation District, Southern Nevada Water Authority, The Metropolitan Water District of Southern California",2024-03-06,"The Water Districts support the Lower Basin Alternative and request Reclamation analyze it for Post-2026 operations; they urge collaborative development and fair, equitable sharing of water-use reductions among Lower Basin states and Mexico.",submit this letter in support of the Lower Basin Alternative for the Post-2026 Coordinated Operation of the Colorado River Basin (Lower Basin Alternative).,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024-03-06_CAWCD-SNWA-Metropolitan-JointLetterinSupportofLowerBasinAlternativeFINAL_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/alternatives/index.html
Central Utah Water Conservancy District,2020-11-13,"CUWCD asks Reclamation to perform a retrospective comparative analysis of operations under the 2007 Interim Guidelines versus the Long‑Range Operating Criteria (LROC), assessing storage, curtailment risk, tier manipulation, April adjustments, and the 500,000‑acre‑foot demand management limit.","We recommend Reclamation perform a comparative analysis of operation, storage, and deliver of the system under the 2007 IG versus where the system would be today under the same hydrologic and demand conditions but following the LROC operation criteria.",https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CUWCD.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
Central Utah Water Conservancy District,2020-11-16,"Requests the Draft Report include a retrospective comparative analysis of operations under the 2007 Interim Guidelines versus the Long-Range Operating Criteria (LROC), and a discussion of how/when it will be performed to objectively assess effectiveness and impacts on Upper Basin curtailment risk.",We feel the effectiveness of the Interim Guidelines as identified in the ROD must be compared against the baseline that would have been in-place (LROC) had the Interim Guidelines not been implemented.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CUWCD_Comment Form.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
Central Utah Water Conservancy District,2023-08-15,Supports initiation of the Post-2026 NEPA process and will adopt comments submitted by the Colorado River Authority of Utah while reserving the right to comment further.,The District supports the initiation of this formal National Environmental Policy Act (NEPA) process,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Central Utah Water Conservancy District,2023-12-11,"Requests mandatory, enforceable, verifiable 3.0 maf Lower Basin conservation; asks Reclamation to reinstate First Draft operational tier modifications to better protect Lake Powell; require new, additive wet-water conservation (no ICS conversion), clarify accounting and reserved authority, and consider impacts to the Bonneville Unit.","Reclamation must ensure that the SEIS conservation is mandatory and enforceable, as represented in the Lower Division Proposal, so that the Proposed Action Alternative can achieve the purpose and need identified in the Revised Draft SEIS.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/339_Central Utah Water Conservancy District_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Cities,,"Recognize effluent as a valuable, reliable resource; generally support the State's proposal that tribes be required to accept effluent when available; prefer exchanges to include non-potable groundwater and be on an acre-foot for acre-foot basis.",The cities are generally supportive of the State's proposal that the tribes be required to accept effluent as soon as it becomes available.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
City of Escondido and Vista Irrigation District,2023-08-11,"Requests Reclamation analyze only legally valid alternatives and asserts the congressional mandate to furnish 16,000 acre-feet for the San Luis Rey Settlement must not be diminished by Post-2026 actions.","The Congressional mandate to permanently furnish 16,000 acre-feet per year of conserved water to the San Luis Rey Settlement Implementing Parties cannot - and must not - be diminished or affected by any new Environmental Impact Statement",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
City of Escondido and Vista Irrigation District,2023-12-07,"Support designation of the Lower Division Proposal as the Proposed Action and elimination of Action Alternatives 1 and 2; assert their 16,000 acre-feet under the San Luis Rey Settlement Act cannot be mandatorily reduced; ask Reclamation to adopt multi-party cooperative conservation measures in the Final SEIS.",Escondido and VID agree with and appreciate Reclamation’s decision to designate the Lower Division Proposal as the Proposed Action,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/553_City of Escondido; Vista Irrigation District_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
City of Goodyear,,"Requests post-2026 guidelines provide increased flexibility, more conservative reservoir operations, use best available climate science, equitable basin-wide shortage sharing, and meaningful municipal engagement (including a municipal sector committee) throughout the NEPA process.","The new guidelines must focus on not only slowing the declines of Lake Mead and Lake Powell, but also building the reservoirs back up.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
City of Goodyear,2023-08-15,Submits comments supporting and reiterating the position of the Arizona Municipal Water Users Association (AMWUA) regarding Post-2026 operational guidelines; emphasizes water management for a growing community.,"is submitting this letter to support and reiterate the comments made by the Arizona Municipal Water Users Association (AMWUA), of which we are a member",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
City of Phoenix,2023-08-05,Supports Reclamation's use of a DMDU approach for the Post-2026 process and urges careful selection of hydrologic ensembles so future risks are adequately characterized to inform sound decision-making.,The City greatly appreciates that Reclamation will be using a DMDU approach for the Post-2026 process,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
City of Phoenix,2023-08-15,"Supports revising purpose and need to reflect changing hydrology; urges precautionary decision-making to rebuild storage buffers, manage the whole system, provide clearer notice to subcontractors, and analyze strategies for gradual, predictable allocation adjustments.",Implementing a precautionary principle in decision-making that focuses on rebuilding storage buffers and maintaining the long-term resilience of the Colorado River system.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
City of Phoenix,2023-08-15,"Requests Reclamation evaluate dry hydrologic scenarios; prioritize long-term water conservation and demand management, landscape-level investments, sector-driven participation, and improvements to water accounting, forecasting, and CRSS/CRMMS modeling for post-2026 operations.","Reclamation should evaluate the results of the multiple recent short-term system conservation efforts, as compared against approaches that focus on long-term investments in water conservation and demand management activities.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
