entity,date,action_type,summary,dollars_per_AF,total_dollars,acre_feet,platform,doc_url,quote,confidence
Albuquerque Bernalillo County Water Utility Authority,2025-01-31,agreement,Approved contract with TLC CO. INC. resulting from bid B2025000009 for construction of the Reuse Pipeline Extension to Winrock.,,,,legistar,https://legistar.granicus.com/abcwua/attachments/ce1f9258-edf1-4c4e-9168-6f9cb1d061ea.pdf,"C-25-6 – Approval of Contract with TLC CO. INC., Spear D, As a Result of B2025000009 Reuse Pipeline Extension to Winrock Project No. 3155.00",high
Albuquerque Bernalillo County Water Utility Authority,2025-01-31,agreement,"Approves contract with TLC CO. INC., Spear D, resulting from B2025000009 for the Reuse Pipeline Extension to Winrock Project No. 3155.00.",,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9631/attachments,"Approval of Contract with TLC CO. INC., Spear D, As a Result of B2025000009 Reuse Pipeline Extension to Winrock Project No. 3155.00",high
Albuquerque Bernalillo County Water Utility Authority,2025-08-15,resolution,"Authorized entering into a $1,309,152.72 Grant Agreement with the New Mexico Environment Department to support planning, design, and construction for the Winrock Wastewater Reuse System.",,1309152.72,,legistar,https://legistar.granicus.com/abcwua/attachments/c2e385da-942e-488f-841b-baef587e49a0.pdf,"enter into a Grant Agreement with the New Mexico Environment Department (25-J4061- GFR) in the amount of $1,309,152.72.",high
Albuquerque Bernalillo County Water Utility Authority,2025-08-15,resolution,"Authorized entering into a $1,262,988.83 Grant Agreement with the New Mexico Environment Department to support planning, design, and construction for the Winrock Wastewater Reuse System.",,1262988.83,,legistar,https://legistar.granicus.com/abcwua/attachments/b107c4bf-917c-4fc3-bb2a-373ba39051f3.pdf,"enter into a Grant Agreement with the New Mexico Environment Department (25-J4062- STBR) in the amount of $1,262,988.83.",high
Albuquerque Bernalillo County Water Utility Authority,2025-08-15,agreement,Approves and authorizes a New Mexico Environment Department appropriation for the Winrock Wastewater Reuse System (25-J4061-GFR).,,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9673/attachments,Approving and Authorizing a New Mexico Environment Department Appropriation for the Winrock Wastewater Reuse System 25-J4061-GFR,high
Albuquerque Bernalillo County Water Utility Authority,2025-09-12,resolution,"Authorized entering into a $10,295,000 Grant Agreement with the New Mexico Environment Department for the Bosque non-potable wastewater reuse plant construction project.",,10295000,,legistar,https://legistar.granicus.com/abcwua/attachments/003c4b6f-5361-444c-ad76-1dfdb5cd4265.pdf,"enter into a Grant Agreement with the State of New Mexico Environment Department in the amount of $10,295,000",high
Albuquerque Bernalillo County Water Utility Authority,2025-09-12,agreement,Approves and authorizes a New Mexico Environment Department appropriation for the Bosque Non-potable Wastewater Reuse Plant Construction Project.,,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9693/attachments,Approving and Authorizing a New Mexico Environment Department Appropriation for the Bosque Non potable Wastewater Reuse Plant Construction Project,high
Albuquerque Bernalillo County Water Utility Authority,2025-10-17,resolution,Authorized Water Authority to submit up to $400 million CWSRF funding application for development and construction of a Non-Potable Water Reuse Treatment Plant.,,400000000,,legistar,https://legistar.granicus.com/abcwua/attachments/23807155-ca29-438d-8692-4b5c85a87cbe.pdf,authorizes the Albuquerque Bernalillo County Water Utility Authority to submit a funding application of up to $400 million to the New Mexico Environment Department’s Clean Water State Revolving Fund.,high
Albuquerque Bernalillo County Water Utility Authority,2025-10-17,agreement,Authorized moving forward with contract approval process and recommended approval of CMAR services for the Bosque Water Reuse Project; Bradbury Stamm and PCL/RCI were shortlisted.,,,,legistar,https://legistar.granicus.com/abcwua/attachments/abf55c69-1084-4c59-91d5-e8408060f438.pdf,"Approval of Contract with Bradbury Stamm Construction, Inc., to provide CMAR services for the Bosque Water Reuse Project",high
Albuquerque Bernalillo County Water Utility Authority,2025-10-17,agreement,"Approves contract with Bradbury Stamm Construction, Inc. to provide Construction Manager at Risk (CMAR) services for the Bosque Water Reuse Project.",,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9707/attachments,"Approval of Contract with Bradbury Stamm Construction, Inc., to provide CMAR services for the Bosque Water Reuse Project",high
Central Arizona Project,2023-02-02,program,"Establishes an on-farm irrigation efficiency pilot to provide grants and collect data to reduce on‑farm use of groundwater, surface water, CAP water and mainstream Colorado River water.",,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=6601,plainText=false)","The establishment of the on-farm irrigation efficiency pilot program for providing grants and collecting data to reduce on-farm use of water, including ... mainstream Colorado River water",high
Central Arizona Project,2023-04-20,program,Lists conservation initiatives including PVID fallowing and Ndrip conservation programs funded by the Extraordinary Cost Reserve and compensated mitigation funded by 'Big R'.,,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=6859,plainText=false)","Conservation Initiative - PVID Fallowing (Funded by Extraordinary Cost Reserve) (1,592)",medium
Central Arizona Project,2024-08-15,report,"CAGRD identified 99,700–199,500 acre-feet/year of Colorado River water potentially available to CAGRD via transfer, lease, or fallowing and intends to engage entitlement holders; fallowing >20% triggers public hearing.",,,99700,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=8172,plainText=false)","CAGRD has identifed between 99,700 and 199,500 acre-feet per year of Colorado River water (Priority 4 or higher) that could be available for use by CAGRD by means of transfer, lease or fallowing agreement",high
Central Arizona Project,2025-01-09,program,References the Basin System Conservation Pilot Program (System Conservation) and dates 6/18/2024 and 12/18/2024 in connection with Hickenlooper (D-CO).,,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=8558,plainText=false)","Basin System Conservation Hickenlooper (D-CO) Pilot Program, which was created to desk.",medium
Central Arizona Project,2025-02-06,program,"Allocated $3.0 million to create a Colorado River Litigation Fund to protect Arizona's Colorado River interests (funding: $1M state General Fund, $2M prior legal expense funds).",,3000000,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=8669,plainText=false)",$3.0 million to a newly created Colorado River Litigation Fund to protect Arizona’s interests on the Colorado River ($1 million from the state General Fund and $2 million from prior funding for Colorado River legal expenses).,high
Central Arizona Project,2025-05-01,agreement,"Public Policy Committee materials state the agreement requires the Navajo Nation and Hopi Tribe to leave 17,050 acre-feet per year of Arizona Upper Basin water in Lake Powell for the first 20 years, and Tribes guaranteed access to over 56,000 AF.",,,17050,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=8950,plainText=false)","Additionally, the agreement requires the Navajo Nation and Hopi Tribe to leave 17,050 acre-feet per year of Arizona Upper Basin water in Lake Powell for the first 20 years.",high
Central Arizona Project,2025-06-05,agreement,"Public Policy Committee materials described agreements guaranteeing Tribes access to over 56,000 acre-feet and noted 18 agreements forming part of more than three million acre-feet of Lower Basin system conservation commitments.",,,56000,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9053,plainText=false)","In total, the Tribes would be guaranteed access to over 56,000 acre- feet of Colorado River water, with specific groundwater rights and protections.",high
Central Arizona Project,2025-10-09,position,Board discussion focused on a policy to establish a System Improvement Fee for CAWCD wheeling contracts and included reports on Colorado River conditions.,,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9303,plainText=false)",Discussion on Board Policy for Establishment of a System Improvement Fee for CAWCD Wheeling Contracts (Water Supply^),high
Central Arizona Project,2025-11-06,resolution,Board considered approving a Board Policy to establish a System Improvement Fee for CAWCD wheeling contracts and received reports on Colorado River conditions and related agreements.,,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9396,plainText=false)",Discussion and Consideration of Action to Approve a Board Policy to Establish a System Improvement Fee for CAWCD Wheeling Contracts (Water Supply^),high
Central Arizona Project,2025-12-04,agreement,"Board reviewed the 2026 Annual Operating Plan, 2025 water operations, and considered approving an amendment to the agreement with Reclamation regarding the 242 Wellfield and Pipeline Conservation Project.",,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9470,plainText=false)",Discussion and Consideration of Action to Approve an Amendment to the Agreement between CAWCD and the Bureau of Reclamation regarding the 242 Wellfield and Pipeline Conservation Project,high
Central Arizona Project,2026-01-08,report,Meeting included the Public Policy Committee's possible consideration of policy issues impacting CAP and reports on Colorado River conditions and discussions.,,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9535,plainText=false)",Possible Consideration of Action on Policy Issues that Could Impact CAP,high
Central Arizona Project,2026-04-02,agreement,Board considered ratifying approval of an Urgent Necessity Contract for Pool 1 embankment and canal repair and received reports on Colorado River conditions and discussions.,,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9814,plainText=false)",Discussion and Consideration of Action to Ratify Approval of Urgent Necessity Contract for Pool 1 Embankment and Canal Repair (Project Reliability^),high
Central Arizona Project,2026-05-07,report,"Board meeting included reports on Colorado River conditions and discussions, and considered agreements regarding drainage wells in the Yuma Valley and other Colorado River topics.",,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9905,plainText=false)",Report on Colorado River Conditions (Water Supply^) - Kartha (11:35),high
Central Arizona Project,2026-06-04,rate,Board agenda included action to adopt a Recovery Rate Schedule for 2027-2032 and to consider extending Bucket 1A system conservation agreements and a Bucket 2 long-term system efficiency agreement.,,,,civicclerk,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9989,plainText=false)",Discussion and Consideration of Action to Adopt a Recovery Rate Schedule for 2027-2032 (Groundwater Replenishment^),high
City of Arvada,2025-12-02,program,"City of Arvada documents a $1,080,000 transfer from the Conservation Trust Fund to the Capital Improvement Fund for the Long Lake turf replacement project.",,1080000,,civicclerk,"https://arvadaco.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=5094,plainText=false)","An increase of $1,080,000 is needed for the Long Lake turf replacement project transfer to the Capital Impromement Fund.",medium
City of Avondale,2024-07-24,program,"Avondale Sustainability Commission discussed water rights and recharge strategies, including McDowell Recharge Facility, CAP recharge sites, and effluent versus groundwater sources.",,,,civicclerk,"https://avondaleaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=4920,plainText=false)",Wet Water:Rights to Water From:• Salt & Verde Rivers• Colorado River• Effluent Water vs.• Groundwater,high
City of Bullhead City,,agreement,Considered approving assignment of Contract for delivery of Colorado River water from Mohave Water Conservation District to the City and related subcontract assignment.,,,,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1949,Assignment of Contract for the Delivery of Colorado River Water from Mohave Water Conservation District to the City (Contract No. 9-07-30-W0012 Assignment),medium
City of Bullhead City,,position,"Authorized approval, execution by the Mayor, and submission of a city letter to the Bureau of Reclamation as part of the EIS public comment period for Lake Powell and Lake Mead operational guidelines.",,,,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1932,"approve a letter, its execution by the Mayor, and its submission to the Bureau of Reclamation",medium
City of Bullhead City,,vote,"Approved final plat for CityCentre District Lots 4 & 5, Tract 5178, and authorized a water allocation of 52.39 acre-feet.",,,52.39,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1918,the water allocation in the amount of 52.39 acre-feet,medium
City of Bullhead City,,resolution,City to adopt RESOLUTION NO. 2025R-43 changing the Colorado River Water Safety Fee from $20.00 to $10.00 per multi-copy form; also public hearing on water and sewer rate increases (Resolution No. 2025R-42).,,,,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1899,approving a change in the Colorado River Water Safety Fee assessed under the Consumer Protection Advisory Form from $20.00 per multi-copy form to $10 per multi-copy form.,medium
City of Bullhead City,,agreement,Adopt RESOLUTION NO. 2025R-19 approving Amendment No. 2 to the System Conservation Implementation Agreement (SCIA) between the U.S. Bureau of Reclamation and the City to implement a pilot system conservation program.,,,,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1872,"approve RESOLUTION NO. 2025R-19, approving Amendment No. 2 to the System Conservation Implementation Agreement (SCIA) between the United States Bureau of Reclamation and the City of Bullhead City to implement a pilot system conservation program (""Pilot Program"").",medium
City of Bullhead City,,resolution,Adopt RESOLUTION NO. 2025R-12 urging the Bureau of Reclamation to develop plans for public access to Davis Dam for community education and benefit.,,,,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1864,"adopt RESOLUTION NO. 2025R-12, urging the Bureau of Reclamation to develop plans for public access to Davis Dam for the education and benefit of the community.",medium
City of Bullhead City,,agreement,"Approve final plat for The Olive Garden, Tract 5181, including approval of a water allocation of 3.2 acre-feet and authorization for the Mayor to sign the final plat.",,,3.2,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1946,the water allocation in the amount of 3.2 acre-feet,medium
City of Bullhead City,2025-06-14,vote,Approved final plat for Montano Ridge Estates Tract 5165 Unit 2 and authorized a water allocation of 26.55 acre-feet.,,,26.55,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1877,the water allocation in the amount of 26.55 acre-feet,high
City of Bullhead City,2026-02-11,rate,Adopted Comprehensive Fee Schedule listing 'All other uses' water charge of $405.00 per acre-foot of estimated annual use.,405.0,,,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1931,All other uses* *Per acre foot of estimated annual use $405.00,high
City of Bullhead City,2026-07-06,vote,"Approved final plat for Montano Ridge Estates Tract 5165 Unit 3, accepted cash assurance, and authorized a water allocation of 26.55 acre-feet.",,,26.55,granicus,https://bullheadcity.granicus.com/AgendaViewer.php?view_id=2&clip_id=1963,the water allocation in the amount of 26.55 acre-feet,high
City of Lake Havasu City,2023-07-25,resolution,City adopted Resolution No. 23-3697 approving submission of a proposal to the Bureau of Reclamation for the Lower Colorado River Basin Conservation and Efficiency Program to fund a new water treatment plant.,,,,legistar,https://webapi.legistar.com/v1/lakehavasucity/matters/5780/attachments,Adopt Resolution No. 23-3697 Approving the Submission of a Proposal to the Bureau of Reclamation for the Lower Colorado River Basin Conservation and Efficiency Program,high
City of Lake Havasu City,2024-09-24,resolution,Adopted Resolution No. 24-3787 approving a grant agreement with the U.S. Army Corps of Engineers under the Arizona & Rural 595 Program for the Water Conservation and Water Reuse Project.,,,,legistar,https://webapi.legistar.com/v1/lakehavasucity/matters/6361/attachments,Resolution No. 24-3787 Approving a Grant Agreement with the U.S. Army Corps of Engineers under the Arizona & Rural 595 Program for the Water Conservation and Water Reuse Project,medium
City of Lake Havasu City,2025-05-21,resolution,Adopted Resolution No. 25-3844 approving an agreement with the Department of the Army for design and construction assistance for the Water Conservation and Water Reuse Project.,,,,legistar,https://webapi.legistar.com/v1/lakehavasucity/matters/6678/attachments,Resolution No. 25-3844 Approving an Agreement with the Department of the Army for Design and Construction Assistance for the Water Conservation and Water Reuse Project,medium
City of Lake Havasu City,2025-09-23,program,Scope of Work for Water Conservation and Reuse Improvements Project to design pipelines and appurtenances to deliver reclaimed water to three parks to replace potable irrigation demand.,,,,legistar,https://legistar1.granicus.com/lakehavasucity/attachments/c578bee3-5e91-48ea-b55f-b892bc00aa2e.pdf,"to deliver reclaimed water to three (3) locations—Rotary Park, Jack Hardie Park, and Cypress Park—for the purpose of replacing potable irrigation demand with recycled water.",medium
City of Lake Havasu City,2025-09-23,agreement,"Consider Professional Services Agreement (Design) with Carollo Engineers, Inc. for Water Conservation and Reuse Improvements design services.",,,,legistar,https://webapi.legistar.com/v1/lakehavasucity/matters/6820/attachments,"Professional Services Agreement (Design) for Water Conservation and Reuse Improvements to Carollo Engineers, Inc.",medium
City of Lake Havasu City,2025-10-01,resolution,"Adopted Resolution No. 25-3875 opposing the permanent transfer of 4th priority Colorado River water from GSC Farm, LLC to the Town of Queen Creek.",,,,legistar,https://webapi.legistar.com/v1/lakehavasucity/matters/6833/attachments,"Resolution No. 25-3875 Opposing the Permanent Transfer of 4th Priority Colorado River Water from GSC Farm, LLC, to the Town of Queen Creek",high
City of Phoenix,2023-02-17,program,Apply for Bureau of Reclamation WaterSMART Water Recycling and Desalination Planning Grant for Federal Fiscal Year 2022-23 using Bipartisan Infrastructure Law funding.,,,,legistar,https://webapi.legistar.com/v1/phoenix/matters/25490/attachments,Apply for Bureau of Reclamation WaterSMART: Water Recycling and Desalination Planning Grant Opportunity for Federal Fiscal Year 2022-23 - Federal Bipartisan Infrastructure Law Funding,medium
City of Phoenix,2023-05-02,agreement,Authorize annual payment to WateReuse Association (annual payment authority).,,,,legistar,https://webapi.legistar.com/v1/phoenix/matters/26280/attachments,WateReuse Association - Annual Payment Authority,medium
City of Phoenix,2023-05-25,report,Update on availability of Colorado River water for 2024-26 and related water strategy.,,,,legistar,https://webapi.legistar.com/v1/phoenix/matters/26590/attachments,Update on Availability of Colorado River Water 2024-26 and Water Strategy,medium
City of Phoenix,2023-12-06,program,Apply for U.S. Bureau of Reclamation grant opportunity for Federal Fiscal Years 2023 and 2024: WaterSMART Title XVI water reclamation and reuse projects.,,,,legistar,https://webapi.legistar.com/v1/phoenix/matters/28104/attachments,Apply for U.S. Bureau of Reclamation Grant Opportunity for Federal Fiscal Years 2023 and 2024 - WaterSMART: Title XVI congressionally Authorized Water Reclamation and Reuse Projects,medium
City of Phoenix,2024-06-17,program,City of Phoenix to apply for Bureau of Reclamation WaterSMART Title XVI WIIN Act water reclamation and reuse grant opportunity for federal FY2023-24 using Bipartisan Infrastructure Law funding.,,,,legistar,https://webapi.legistar.com/v1/phoenix/matters/29871/attachments,Apply for Bureau of Reclamation WaterSMART: Title XVI WIIN Act Water Reclamation and Reuse Projects Grant Opportunity for Federal Fiscal Year 2023-24 - Federal Bipartisan Infrastructure Law Funding,high
City of Phoenix,2024-08-29,program,City of Phoenix to apply for U.S. Bureau of Reclamation WaterSMART Title XVI grants for federal fiscal years 2022-23 and 2023-24 for water reclamation and reuse projects.,,,,legistar,https://webapi.legistar.com/v1/phoenix/matters/30299/attachments,Apply for U.S. Bureau of Reclamation Grant Opportunity for Federal Fiscal Years 2022-23 and 2023-24 - WaterSMART: Title XVI Congressionally Authorized Water Reclamation and Reuse Projects,high
City of Phoenix,2024-12-11,agreement,City of Phoenix requested adding to the agenda to enter into a System Conservation Implementation Agreement with the U.S. Bureau of Reclamation (Ordinance S-51563).,,,,legistar,https://phoenix.legistar1.com/phoenix/attachments/4404eff4-8423-48ba-87db-2148c87beb21.pdf,Enter into a System Conservation Implementation Agreement with the U.S. Bureau of Reclamation - Ordinance S-51563,high
City of Phoenix,2024-12-11,agreement,Add-on item to enter into a System Conservation Implementation Agreement with the U.S. Bureau of Reclamation (Ordinance S-51563) - citywide.,,,,legistar,https://webapi.legistar.com/v1/phoenix/matters/31076/attachments,ADD-ON - Enter into a System Conservation Implementation Agreement with the U.S. Bureau of Reclamation (Ordinance S-51563) - Citywide,high
City of Phoenix,2026-04-20,report,City of Phoenix provided a citywide Colorado River water supply and demand update.,,,,legistar,https://webapi.legistar.com/v1/phoenix/matters/34991/attachments,"Colorado River, Phoenix Water Supply and Demand Update - Citywide",high
City of Santa Fe,2026-05-26,report,"Finance Committee materials noted the newly-created Conservation and Sustainability Division (established FY26) focusing on water conservation, reuse, and questions about KSFB and Resource Conservation Fund budgets.",,,,civicclerk,"https://santafenm.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2721,plainText=false)","The newly-created Conservation and Sustainability Division was established in FY26 and is focused on water conservation and reuse, environmental sustainability and the work of Keep Santa Fe Beautiful.",high
City of Santa Fe,2026-05-27,program,"City established the Conservation and Sustainability Division in FY26 to focus on water conservation, reuse, environmental sustainability, and oversight of Keep Santa Fe Beautiful.",,,,civicclerk,"https://santafenm.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2724,plainText=false)","The newly-created Conservation and Sustainability Division was established in FY26 and is focused on water conservation and reuse, environmental sustainability and the work of Keep Santa Fe Beautiful.",high
City of Santa Fe,2026-06-04,report,"BDD materials described Santa Fe's water sources, noting the City diverts Colorado River water via the San Juan-Chama exchange at the Buckman Direct Diversion and is planning potable reuse.",,,,civicclerk,"https://santafenm.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2770,plainText=false)",City diverts Colorado River water from the Rio Grande at BDD• Non-potable resource,medium
City of Surprise,2026-04-07,report,"EPCOR representative Victoria presented Colorado River shortage planning, EPCOR West Valley system, impacts under a 70% CAP shortage, recycling, Integrated Water Master Plan and conservation updates to Surprise City Council during a work session.",,,,civicclerk,"https://surpriseaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=8234,plainText=false)","Victoria from EPCOR came to talk about the Colorado River Shortage Planning, Overview, EPCOR's West valley System, Water Supply Under at 70% CAP Shortage, Recycling, and EPCOR's Long Range Planning.",high
City of Surprise,2026-04-21,report,"EPCOR representative Victoria presented Colorado River shortage planning, EPCOR West Valley system, impacts under a 70% CAP shortage, recycling, Integrated Water Master Plan, drought plan and conservation updates to Surprise City Council.",,,,civicclerk,"https://surpriseaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=8259,plainText=false)","Victoria from EPCOR came to talk about the Colorado River Shortage Planning, Overview, EPCOR's West valley System, Water Supply Under at 70% CAP Shortage, Recycling, and EPCOR's Long Range Planning.",high
