stakeholder,org_as_stated,date,source_type,position_summary,quote,doc_url,confidence
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2023-09-15,board_resolution,Albuquerque Bernalillo County Water Utility Authority approved and authorized a New Mexico Environment Department appropriation for the Winrock Wastewater Reuse System (23-H4048-STBR).,Approving and Authorizing a New Mexico Environment Department Appropriation for the Winrock Wastewater Reuse System 23-H4048-STBR,https://webapi.legistar.com/v1/abcwua/matters/9468/attachments,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2024-05-03,board_resolution,"Authorized submitting a $5,000,000 CWSRF application to NMED for the Reuse Pipeline Extension to Winrock.","submit an application in the amount of $5,000,000 to the New Mexico Environment Department (NMED) Clean Water State Revolving Fund (CWSRF) for the Reuse Pipeline Extension to Winrock",https://legistar.granicus.com/abcwua/attachments/28473dd1-2038-4de3-9d9b-e0eee46277dd.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2024-05-03,board_resolution,Albuquerque Bernalillo County Water Utility Authority authorized submission of an application to the New Mexico Environment Department Clean Water State Revolving Fund for the reuse pipeline funding.,Authorizing the Albuquerque Bernalillo County Water Utility Authority to Submit an Application for Funding to the New Mexico Environment Department Clean Water State Revolving Fund for the Reuse Pipel,https://webapi.legistar.com/v1/abcwua/matters/9554/attachments,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2024-08-16,board_resolution,"Authorized entering into a $118,800 Grant Agreement with the New Mexico Environment Department for the Bosque Non-potable Wastewater Reuse Plant construction project.","enter into a Grant Agreement with the State of New Mexico Environment Department (NMED) in the amount of $118,800",https://legistar.granicus.com/abcwua/attachments/2c02a7ee-e9ed-4f9c-8170-418e1f9d961d.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2024-08-16,board_resolution,Albuquerque Bernalillo County Water Utility Authority approved and authorized a New Mexico Environment Department appropriation for the Bosque Non-Potable Wastewater Reuse Plant construction project.,Approving and Authorizing a New Mexico Environment Department Appropriation for the Bosque Non potable Wastewater Reuse Plant Construction Project,https://webapi.legistar.com/v1/abcwua/matters/9578/attachments,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2024-10-18,board_resolution,"Authorized submitting a $10,000,000 CWSRF application to NMED for Phase 1 Tijeras Reuse Reservoir and Pump Station.","submit an application in the amount of $10,000,000 to the New Mexico Environment Department (NMED) Clean Water State Revolving Fund (CWSRF) for the Phase 1 Tijeras Reuse Reservoir and Pump Station",https://legistar.granicus.com/abcwua/attachments/cbba7a8a-40ba-44eb-8239-58fdce1ba3f3.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-01-31,board_agreement,Approved contract with TLC CO. INC. resulting from bid B2025000009 for construction of the Reuse Pipeline Extension to Winrock.,"C-25-6 – Approval of Contract with TLC CO. INC., Spear D, As a Result of B2025000009 Reuse Pipeline Extension to Winrock Project No. 3155.00",https://legistar.granicus.com/abcwua/attachments/ce1f9258-edf1-4c4e-9168-6f9cb1d061ea.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-01-31,board_agreement,"Approves contract with TLC CO. INC., Spear D, resulting from B2025000009 for the Reuse Pipeline Extension to Winrock Project No. 3155.00.","Approval of Contract with TLC CO. INC., Spear D, As a Result of B2025000009 Reuse Pipeline Extension to Winrock Project No. 3155.00",https://webapi.legistar.com/v1/abcwua/matters/9631/attachments,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-08-15,board_resolution,"Authorized entering into a $1,309,152.72 Grant Agreement with the New Mexico Environment Department to support planning, design, and construction for the Winrock Wastewater Reuse System.","enter into a Grant Agreement with the New Mexico Environment Department (25-J4061- GFR) in the amount of $1,309,152.72.",https://legistar.granicus.com/abcwua/attachments/c2e385da-942e-488f-841b-baef587e49a0.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-08-15,board_resolution,"Authorized entering into a $1,262,988.83 Grant Agreement with the New Mexico Environment Department to support planning, design, and construction for the Winrock Wastewater Reuse System.","enter into a Grant Agreement with the New Mexico Environment Department (25-J4062- STBR) in the amount of $1,262,988.83.",https://legistar.granicus.com/abcwua/attachments/b107c4bf-917c-4fc3-bb2a-373ba39051f3.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-08-15,board_agreement,Approves and authorizes a New Mexico Environment Department appropriation for the Winrock Wastewater Reuse System (25-J4061-GFR).,Approving and Authorizing a New Mexico Environment Department Appropriation for the Winrock Wastewater Reuse System 25-J4061-GFR,https://webapi.legistar.com/v1/abcwua/matters/9673/attachments,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-09-12,board_resolution,"Authorized entering into a $10,295,000 Grant Agreement with the New Mexico Environment Department for the Bosque non-potable wastewater reuse plant construction project.","enter into a Grant Agreement with the State of New Mexico Environment Department in the amount of $10,295,000",https://legistar.granicus.com/abcwua/attachments/003c4b6f-5361-444c-ad76-1dfdb5cd4265.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-09-12,board_agreement,Approves and authorizes a New Mexico Environment Department appropriation for the Bosque Non-potable Wastewater Reuse Plant Construction Project.,Approving and Authorizing a New Mexico Environment Department Appropriation for the Bosque Non potable Wastewater Reuse Plant Construction Project,https://webapi.legistar.com/v1/abcwua/matters/9693/attachments,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-10-17,board_resolution,Authorized Water Authority to submit up to $400 million CWSRF funding application for development and construction of a Non-Potable Water Reuse Treatment Plant.,authorizes the Albuquerque Bernalillo County Water Utility Authority to submit a funding application of up to $400 million to the New Mexico Environment Department’s Clean Water State Revolving Fund.,https://legistar.granicus.com/abcwua/attachments/23807155-ca29-438d-8692-4b5c85a87cbe.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-10-17,board_agreement,Authorized moving forward with contract approval process and recommended approval of CMAR services for the Bosque Water Reuse Project; Bradbury Stamm and PCL/RCI were shortlisted.,"Approval of Contract with Bradbury Stamm Construction, Inc., to provide CMAR services for the Bosque Water Reuse Project",https://legistar.granicus.com/abcwua/attachments/abf55c69-1084-4c59-91d5-e8408060f438.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2025-10-17,board_agreement,"Approves contract with Bradbury Stamm Construction, Inc. to provide Construction Manager at Risk (CMAR) services for the Bosque Water Reuse Project.","Approval of Contract with Bradbury Stamm Construction, Inc., to provide CMAR services for the Bosque Water Reuse Project",https://webapi.legistar.com/v1/abcwua/matters/9707/attachments,high
American Whitewater,American Whitewater,,usbr_post2026_letter,"Requests NEPA analyses incorporate published river recreation flow data, prioritize tribal water rights and Indigenous Traditional Ecological Knowledge, and support a public-facing web-tool to convey operational impacts on recreation and the environment.",American Whitewater is very supportive of the Bureau of Reclamation’s plan to create a public facing web-tool that is accessible to the public,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,high
American Whitewater,American Whitewater,2023-08-15,usbr_post2026_letter,"Advocates that post-2026 guidelines must incorporate ecological and recreational values, require reductions in consumptive use as a core purpose, broaden scope to basinwide operations, and coordinate dam modification analyses within NEPA and public engagement.",Reductions in use need to be baked into the central purpose of this process and carried forward to direct management well into the future.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,high
American Whitewater,American Whitewater,2023-12-11,usbr_post2026_letter,"Supports the Revised Draft SEIS Proposed Action (Lower Basin Proposal) with conditions: request robust analysis of evaporation/seepage and recreation impacts across the full geographic scope, incorporation of science-based flow needs, Tribal water rights/TEK, and improved modeling of whitewater impacts.",American Whitewater supports the proposed action alternative with the following considerations.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/314_American Whitewater_508.pdf,high
Arizona Department of Water Resources,CA Department of Water Resources,,usbr_post2026_letter,"Requests addressing infrastructure issues (including Glen Canyon Dam low-level outlet works), promoting Colorado River water-use efficiency, expanding interagency partnerships (e.g., USDA salinity control), and exploring use of Yuma Desalting Plant; commits to collaborate with Reclamation.","promoting water use efficiency of Colorado River supplies. There are opportunities to expand partnerships with other federal agencies and programs, such as the U.S. Department of Agriculture’s salinity control program activities, to drive increased conservation.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,medium
Arizona Department of Water Resources,Arizona Department of Water Resources,2020-11-13,usbr_post2026_letter,"Requests Reclamation revise the draft 7D by moving out-of-scope sections to appendices, add discussion of the Lake Powell Equalization Elevation Table and Upper Basin impacts, expand and acknowledge Arizona ICS agreements, clarify the May provision, and strengthen discussion of the 2007 Guidelines' impacts.","In this effort, the Department asks that Reclamation consider and incorporate the above comments.",https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_ADWR.pdf,high
Arizona Department of Water Resources,Nebraska Department of Natural Resources,2023-08-14,usbr_post2026_letter,Requests the Bureau evaluate impacts of post‑2026 operational changes on Colorado‑Big Thompson trans‑basin diversions and Nebraska’s South Platte River Compact rights; opposes changes that would limit C‑BT diversions and harm Nebraska.,Nebraska requests that the Bureau consider potential impacts of any post-2026 operational changes on the viability and vitality of continued C-BT diversions.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,medium
Arizona Department of Water Resources,ARIZONA DEPARTMENT of WATERRESOURCES,2023-08-15,usbr_post2026_letter,"Seeks equitable sharing of Colorado River system protection burdens, evaluation of voluntary storage (ICS) with an Arizona implementation framework including Tribes, and updated beneficial use/efficiency standards for contractors in both Upper and Lower Basins.","the burdens associated with protecting the Colorado River System should not fall disproportionately on any particular state, sector, or water user.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Arizona Farm Bureau Federation,Arizona Farm Bureau Federation,,usbr_post2026_letter,"Requests meaningful inclusion of agricultural stakeholders, respect for priority water rights, and a more complete EIS analyzing agriculture and food security impacts; urges consideration of conservation, supply augmentation, increased storage, and forest and rangeland health projects.",It should be without question that this priority system be respected in Post-2026 planning through a proper balance of mitigation and voluntary system conservation with the flexibility to plan for both short- and long-term river conditions.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,high
Arizona Farm Bureau Federation,Arizona Farm Bureau Federation,2023-08-15,usbr_post2026_letter,Represents Arizona farmers and ranchers; emphasizes the critical importance of water to agriculture and raises concern about reduced Central Arizona Project deliveries and declining Lake Powell and Lake Mead levels.,Water is the lifeblood of our thriving agricultural community.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,high
Arizona Power Authority,ARIZONA POWER AUTHORITY,2023-08-15,usbr_post2026_letter,Supports prioritizing and adequately considering hydropower in post-2026 operations; adopts comments from energy and utility associations and emphasizes hydropower's vital role for western grid reliability.,hydropower plays a vital role in ensuring the continued reliability of the western electric grid and it should be treated as such.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Arizona Power Authority,"Arizona Municipal Power Users’ Association (AMPUA), Arizona Power Authority (APA), Grand Canyon State Electrical Cooperative Association (GCSECA), Irrigation and Electrical Districts Association (IEDA)",2023-12-06,usbr_post2026_letter,Support the Lower Basin Proposed Alternative (with provision to waive 2026 conservation if 2024–25 snowpack is significant); require comprehensive hydropower and replacement-cost analysis; oppose assigning additional costs to federal hydropower customers; pursue tamarisk removal/dredging and further HFE impacts study.,"Therefore, it is requested that the Bureau not obligate the hydropower customers with additional costs in the Near-Term SEIS process or Post-2026 process.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/555_Joint Arizona Public Power Interests_508.pdf,high
Aurora Water,Aurora Water,,usbr_post2026_letter,No policy position visible in this excerpt; only signature/affiliation is shown.,Marshall P. Brown General Manager Aurora Water,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Bard Water District,Bard Water District,,usbr_post2026_letter,"Opposes uncompensated mandatory cuts; urges prioritization and full analysis of voluntary, compensated conservation programs; requests consideration of users' access to other water sources and continuation of processes that provide certainty and predictability for water users.","These types of voluntary, compensated conservation programs and others should be prioritized and fully analyzed in the post-2026 process.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Bard Water District,Bard Water District,2023-08-15,usbr_post2026_letter,"Demand an inclusive, equitable, transparent Post-2026 guidelines process; require adherence to the Law of the River and priority system; and prioritize voluntary, compensated conservation over mandatory reductions.","The process must include all water users in both the Lower and Upper Basins, tribes, and Mexico, and must also ensure full and equitable participation.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Bard Water District,Bard Water District,2023-12-07,usbr_post2026_letter,"Bard Water District supports the SEIS Proposed Action only if conservation is achieved through voluntary, compensated reductions; opposes mandatory uncompensated cuts; urges adherence to the Law of the River, shared shortages by Upper Basin and Mexico, and full analysis before emergency reductions.",The District supports the Proposed Action of the revised draft SEIS to the extent that it meets conservation requirements or needs through voluntary and/or compensated reductions.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/539_Bard Water District_508.pdf,high
Bureau of Land Management,"U.S. Dept. of Interior, Bureau of Land Management",2004-05-20,regulations.gov:FAA-2004-17460,,,https://www.regulations.gov/comment/FAA-2004-17460-0004,high
Bureau of Reclamation,Reclamation,,usbr_post2026_letter,"Describes consultation, coordination, and outreach for the 2023 Drought Response Operations Plan, including a May 10, 2023 public webinar, ongoing meetings with Tribes, DOI agencies, WAPA, and consultations with Lower Division States and Initial Unit workgroups.","On May 10, 2023, a public webinar was held to outline the contents of the 2023 Drought Response Operations Plan.",https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/20230517-2023DROAPlan-508-UCRO.pdf,high
Bureau of Reclamation,Reclamation,2023-04,usbr_post2026_letter,"Describes 2023 Drought Response Operations Plan, indicating DROA releases are not currently needed to protect Lake Powell; plans to preserve upstream storage, recover prior DROA releases where needed, and evaluate additional operations if necessary.",Actual hydrologic conditions indicate that DROA releases are not currently needed to protect the critical elevations at Lake Powell.,https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/20230517-2023DROAPlan-508-UCRO.pdf,high
Business for Water Stewardship,Business for Water Stewardship (BWS) and the Bonneville Environmental Foundation (BEF),2023-08-15,usbr_post2026_letter,"Urges Post-2026 Guidelines to plan for current (drier, hotter) hydrology, prioritize long-term stability and predictability, incorporate environmental and Tribal considerations, coordinate with parallel basin efforts, and provide durable incentives for resilience investments.",The Post-2026 Guidelines should plan for the River we have and not expect the River we want:,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,high
Center for Colorado River Studies,"Center for Colorado River Studies, Eric Kuhn, Utton Center, University of New Mexico School of Law",2024-03-29,usbr_post2026_letter,"Request that Reclamation consider their proposal to decouple annual Lake Powell release decisions from Law of the River annual accounting by creating a debits/credits reservoir accounting system, allowing flexible releases to meet environmental, cultural, and recreational objectives.",We propose creating an accounting system for Upper Basin and Lower Basin debits and credits in the two reservoirs.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024-03-29_Schmidt_Kuhn_Fleck_508.pdf,high
Central Arizona Project,Central Arizona Project,2023-02-02,board_program,"Establishes an on-farm irrigation efficiency pilot to provide grants and collect data to reduce on‑farm use of groundwater, surface water, CAP water and mainstream Colorado River water.","The establishment of the on-farm irrigation efficiency pilot program for providing grants and collecting data to reduce on-farm use of water, including ... mainstream Colorado River water","https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=6601,plainText=false)",high
Central Arizona Project,Central Arizona Project,2023-04-20,board_program,Lists conservation initiatives including PVID fallowing and Ndrip conservation programs funded by the Extraordinary Cost Reserve and compensated mitigation funded by 'Big R'.,"Conservation Initiative - PVID Fallowing (Funded by Extraordinary Cost Reserve) (1,592)","https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=6859,plainText=false)",medium
Central Arizona Project,CENTRAL ARIZONA PROJECT,2023-08-15,usbr_post2026_letter,"As CAWCD, urges Post-2026 Operations to ensure highest reliability and water-supply certainty, use flexible mechanisms, respect Law of the River, equitably share burdens (protecting CAP and tribes), analyze socioeconomic and infrastructure impacts, include Mexico considerations, and address conserved-water forbearance.",The Post-2026 Operations must achieve the highest level of reliability and water supply certainty to Colorado River water users.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Central Arizona Project,Central Arizona Project (CAP) 4th priority municipal and industrial (M&I) subcontract entitlement holders,2023-08-15,usbr_post2026_letter,"Submitting comments on the Post-2026 NOI on behalf of CAP 4th priority M&I subcontract entitlement holders and potentially impacted municipalities, representing municipal and industrial water interests.",Following are comments from the Central Arizona Project (CAP) 4th priority municipal and industrial (M&I) subcontract entitlement holders1 and potentially impacted municipalities that are also member,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
Central Arizona Project,Central Arizona Project,2025-01-09,board_program,References the Basin System Conservation Pilot Program (System Conservation) and dates 6/18/2024 and 12/18/2024 in connection with Hickenlooper (D-CO).,"Basin System Conservation Hickenlooper (D-CO) Pilot Program, which was created to desk.","https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=8558,plainText=false)",medium
Central Arizona Project,Central Arizona Project,2025-02-06,board_program,"Allocated $3.0 million to create a Colorado River Litigation Fund to protect Arizona's Colorado River interests (funding: $1M state General Fund, $2M prior legal expense funds).",$3.0 million to a newly created Colorado River Litigation Fund to protect Arizona’s interests on the Colorado River ($1 million from the state General Fund and $2 million from prior funding for Colorado River legal expenses).,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=8669,plainText=false)",high
Central Arizona Project,Central Arizona Project,2025-05-01,board_agreement,"Public Policy Committee materials state the agreement requires the Navajo Nation and Hopi Tribe to leave 17,050 acre-feet per year of Arizona Upper Basin water in Lake Powell for the first 20 years, and Tribes guaranteed access to over 56,000 AF.","Additionally, the agreement requires the Navajo Nation and Hopi Tribe to leave 17,050 acre-feet per year of Arizona Upper Basin water in Lake Powell for the first 20 years.","https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=8950,plainText=false)",high
Central Arizona Project,Central Arizona Project,2025-06-05,board_agreement,"Public Policy Committee materials described agreements guaranteeing Tribes access to over 56,000 acre-feet and noted 18 agreements forming part of more than three million acre-feet of Lower Basin system conservation commitments.","In total, the Tribes would be guaranteed access to over 56,000 acre- feet of Colorado River water, with specific groundwater rights and protections.","https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9053,plainText=false)",high
Central Arizona Project,Central Arizona Project,2025-10-09,board_position,Board discussion focused on a policy to establish a System Improvement Fee for CAWCD wheeling contracts and included reports on Colorado River conditions.,Discussion on Board Policy for Establishment of a System Improvement Fee for CAWCD Wheeling Contracts (Water Supply^),"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9303,plainText=false)",high
Central Arizona Project,Central Arizona Project,2025-11-06,board_resolution,Board considered approving a Board Policy to establish a System Improvement Fee for CAWCD wheeling contracts and received reports on Colorado River conditions and related agreements.,Discussion and Consideration of Action to Approve a Board Policy to Establish a System Improvement Fee for CAWCD Wheeling Contracts (Water Supply^),"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9396,plainText=false)",high
Central Arizona Project,Central Arizona Project,2025-12-04,board_agreement,"Board reviewed the 2026 Annual Operating Plan, 2025 water operations, and considered approving an amendment to the agreement with Reclamation regarding the 242 Wellfield and Pipeline Conservation Project.",Discussion and Consideration of Action to Approve an Amendment to the Agreement between CAWCD and the Bureau of Reclamation regarding the 242 Wellfield and Pipeline Conservation Project,"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9470,plainText=false)",high
Central Arizona Project,Central Arizona Project,2026-04-02,board_agreement,Board considered ratifying approval of an Urgent Necessity Contract for Pool 1 embankment and canal repair and received reports on Colorado River conditions and discussions.,Discussion and Consideration of Action to Ratify Approval of Urgent Necessity Contract for Pool 1 Embankment and Canal Repair (Project Reliability^),"https://capaz.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=9814,plainText=false)",high
Central Utah Water Conservancy District,Central Arizona Water Conservation District,2020-11-13,usbr_post2026_letter,"Requests Reclamation revise the Draft 7.D Review Report: remove Section 6, clarify Sections 4 and 7 (recognize Upper Basin impacts, acknowledge voluntary Lower Basin conservation, articulate ICS principles and intra-state agreements), and affirm the effectiveness of the 2007 Guidelines.",We recommend that Reclamation remove Section 6 from the body of the report and consider documenting Reclamation’s general response to pertinent comments in an appendix.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CAWCD.pdf,medium
Central Utah Water Conservancy District,Central Utah Water Conservancy District,2020-11-13,usbr_post2026_letter,"CUWCD asks Reclamation to perform a retrospective comparative analysis of operations under the 2007 Interim Guidelines versus the Long‑Range Operating Criteria (LROC), assessing storage, curtailment risk, tier manipulation, April adjustments, and the 500,000‑acre‑foot demand management limit.","We recommend Reclamation perform a comparative analysis of operation, storage, and deliver of the system under the 2007 IG versus where the system would be today under the same hydrologic and demand conditions but following the LROC operation criteria.",https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CUWCD.pdf,high
Central Utah Water Conservancy District,Central Utah Water Conservancy District,2020-11-16,usbr_post2026_letter,"Requests the Draft Report include a retrospective comparative analysis of operations under the 2007 Interim Guidelines versus the Long-Range Operating Criteria (LROC), and a discussion of how/when it will be performed to objectively assess effectiveness and impacts on Upper Basin curtailment risk.",We feel the effectiveness of the Interim Guidelines as identified in the ROD must be compared against the baseline that would have been in-place (LROC) had the Interim Guidelines not been implemented.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_CUWCD_Comment Form.pdf,high
Central Utah Water Conservancy District,Central Utah Water Conservancy District,2023-08-15,usbr_post2026_letter,Supports initiation of the Post-2026 NEPA process and will adopt comments submitted by the Colorado River Authority of Utah while reserving the right to comment further.,The District supports the initiation of this formal National Environmental Policy Act (NEPA) process,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,high
